Feature,Chi2_Score,P_Value
bike,554.3508444467348,2.111162868549248e-105
israel,550.3770706944574,1.448628294797796e-104
god,544.1584374004794,2.9479887475340464e-103
windows,518.5515550977807,7.124299941335066e-98
encryption,480.45371188702313,6.999215224386869e-90
car,478.47950031201344,1.8138829206867018e-89
key,435.6030108075759,1.6753964799101452e-80
space,430.9891607294423,1.5377330308935305e-79
clipper,425.9587227589482,1.7222459099042992e-78
gun,395.74139578360666,3.3685600742276133e-72
hockey,378.31121857696513,1.402713698926106e-68
israeli,372.9839057583529,1.785321095845539e-67
sale,352.65031487566927,2.8929655722440544e-63
jesus,347.17914892389445,3.9085338620279475e-62
window,333.5640976986542,2.5217662826704252e-59
armenian,317.10084469355434,6.1802338982859675e-56
motif,311.86944961592246,7.34490607393693e-55
team,306.23959749740555,1.0512341504758806e-53
mac,305.8293429209426,1.2760574172221961e-53
apple,303.81793460392106,3.299514042481787e-53
armenians,290.3749861255311,1.8692356840218256e-50
nsa,282.6178475994545,7.19248584703772e-49
scsi,269.934121158235,2.7726622864467445e-46
guns,265.96965466419937,1.776558898778056e-45
game,260.8575201680149,1.9435379758235917e-44
turkish,257.23920799493595,1.0547647078946236e-43
graphics,254.024105852544,4.734340759904918e-43
church,253.0563085036876,7.43772462498699e-43
arab,252.23244106045314,1.0924538073826309e-42
msg,251.02922062689757,1.915028380456818e-42
nhl,250.28966673808097,2.7037549152781033e-42
keys,249.6675556117169,3.6136625722150215e-42
shipping,243.93121066772716,5.230065054639769e-41
ide,243.90447782413096,5.295548793402275e-41
widget,241.92866494568267,1.3279704461751302e-40
geb,231.53883600900005,1.6546982104218882e-38
jews,227.90486873821922,8.911810947881026e-38
escrow,225.8207586600415,2.338453091932716e-37
server,224.79476967939988,3.7589571974217795e-37
n3jxp,222.08127619246258,1.3179208688232146e-36
chastity,222.08127619246258,1.3179208688232146e-36
dsl,221.7274786037963,1.5519801255969855e-36
christ,221.01450941499272,2.1573975515059764e-36
cars,219.9638980558915,3.504670084644616e-36
chip,219.18753369936886,5.015410398418514e-36
christians,218.35464508353567,7.366281725103536e-36
offer,217.77466090466118,9.626483187022705e-36
bikes,215.2352247155656,3.1047395590186064e-35
cadre,214.50427803024428,4.3482514720659145e-35
controller,213.41787624719223,7.172427698807192e-35
shameful,212.2873093055922,1.207130246064728e-34
skepticism,210.8419841847967,2.3476705890060826e-34
intellect,210.1530416730264,3.223140742228056e-34
dod,206.92104756894244,1.4238642815447357e-33
nasa,205.7127125878378,2.4800387131754663e-33
bible,205.0246343193761,3.401205876606281e-33
drive,202.9328928029258,8.879510627537896e-33
players,202.54766271255738,1.0594981703767515e-32
orbit,199.6978828825708,3.9099404585479156e-32
x11r5,196.64600973529053,1.5799314645745328e-31
season,196.4293726186389,1.744438403025225e-31
baseball,196.07829520507136,2.0481387076507797e-31
christian,194.48444282655632,4.242877052806114e-31
gordon,193.15097687757856,7.800127029066097e-31
atheism,192.84311215212395,8.976982029079546e-31
pitt,191.6116907722027,1.57451002215856e-30
crypto,190.85701245667198,2.2213496251775107e-30
bus,189.78141622367298,3.6270356575802354e-30
pitching,187.4441656524432,1.0516092925927337e-29
motorcycle,184.9767068237394,3.2307512416512747e-29
arabs,180.87487755208215,2.080640810609832e-28
xterm,179.02549160287074,4.811727555730111e-28
banks,177.8525333801752,8.185259219952002e-28
braves,177.65775372205147,8.939891416979724e-28
launch,176.43753449111003,1.5529837454772748e-27
government,174.30965985073126,4.064326166989792e-27
privacy,173.90156944831037,4.8871855092445466e-27
ax,173.88281960001981,4.928754700684992e-27
encrypted,172.55885219219257,8.961265039064325e-27
moon,171.68499415779098,1.3292862481034276e-26
ride,171.26693831196587,1.605135382240084e-26
faith,171.09434935368972,1.73505785010574e-26
surrender,170.21921579252395,2.574282420016858e-26
leafs,169.70253833426906,3.249165479556217e-26
quadra,169.3944913471127,3.732861669799146e-26
des,168.33055582472795,6.027143494529488e-26
card,168.15606206457227,6.519629675304656e-26
firearms,167.5771069210749,8.460067395813096e-26
file,167.33937473593156,9.415074449855664e-26
secure,165.0249126976663,2.6647660033309783e-25
00,163.86992189976664,4.475859243040558e-25
lc,163.52367233299296,5.228278267697411e-25
games,161.94440204085626,1.0615618077684454e-24
dos,160.6482539178136,1.897295081371779e-24
helmet,159.2470226914039,3.552282562957507e-24
shuttle,158.21729900175933,5.6297537412409794e-24
riding,157.95858302642452,6.3199063356364275e-24
cica,154.3994911784244,3.094581660265799e-23
playoffs,154.25223372802742,3.304500138661984e-23
weapons,152.17132437623684,8.347263924875856e-23
centris,152.050594450724,8.807900098684457e-23
files,150.57450656776416,1.697884826205828e-22
lunar,150.28252830814802,1.93307779031733e-22
condition,149.46241286624183,2.7824611738501764e-22
patients,149.1391925381452,3.211742377157623e-22
pgp,149.0246498937757,3.379236746284276e-22
armenia,147.88901065002622,5.592376758030726e-22
circuit,147.7896176505224,5.844323113970964e-22
doctor,147.29990828487885,7.261101154516325e-22
3d,146.8601931754108,8.822938682140035e-22
turks,145.92100597623133,1.337290427224797e-21
disease,145.85647507191504,1.3760368899864228e-21
isa,145.57039155590132,1.5617573085674252e-21
algorithm,144.93360166670232,2.0699075130081783e-21
rsa,143.94733138957815,3.2010510859248083e-21
detroit,142.05207181739047,7.390380021972277e-21
security,140.80162199366748,1.2825247325364544e-20
turkey,140.69825273043668,1.3422805192649209e-20
image,139.0259363940027,2.802438656060659e-20
christianity,138.62546304400666,3.342084948631505e-20
teams,136.7956196888538,7.466115855058252e-20
simms,136.10071665056296,1.0127314867940284e-19
israelis,134.24042635448853,2.2880973091405943e-19
fbi,133.6546703861689,2.956600292192832e-19
atheists,133.2143967942086,3.584412476768674e-19
duo,132.07743429212366,5.891033234723281e-19
league,131.57522087460273,7.335303461541757e-19
spacecraft,128.24048994065166,3.1361318954101672e-18
religion,126.81825744834809,5.8180196281149344e-18
play,126.76421761168194,5.956127071230041e-18
morality,125.99481370218709,8.316842278670991e-18
espn,125.84071815061225,8.891641811670955e-18
sin,125.19623150913796,1.1757403545616584e-17
sox,124.41973269417016,1.6457657121621354e-17
cubs,124.40788197141221,1.6542304845862164e-17
islam,123.49412429264964,2.4563522088804216e-17
alomar,123.41300025576683,2.5440430129329912e-17
palestinian,122.60459280045109,3.6078329691949075e-17
objective,119.51626274672154,1.3659215596283358e-16
lebanon,118.94018822896423,1.7499136039425585e-16
nubus,118.87024466971259,1.8033250086491065e-16
heaven,118.10891182823016,2.501056892636195e-16
xlib,118.0316001663526,2.5854740568733717e-16
rangers,117.99816847285939,2.6228524183323897e-16
vlb,117.42865444565017,3.3490494127567503e-16
ford,117.10987194524675,3.83973143013563e-16
scripture,116.53491494640753,4.912822211441585e-16
pens,115.46348562410472,7.772318730744587e-16
devils,114.96337955601686,9.625767637845467e-16
ini,114.91646182086221,9.820780035727236e-16
playoff,114.40202257688419,1.223535225487717e-15
phillies,113.67227260441966,1.6707897835892494e-15
batf,113.52551337091884,1.7787518845903978e-15
lebanese,113.40505739732698,1.872538220717421e-15
mit,112.79148887892961,2.432408313092203e-15
cryptography,111.73840421718282,3.808699620116684e-15
monitor,111.54416602047796,4.136774404399935e-15
serdar,110.72654046197894,5.855966686440148e-15
tiff,110.68547148839598,5.959022532333551e-15
obo,110.56065944530717,6.283439617063124e-15
secret,110.3717584454954,6.808209906947709e-15
coach,109.89069886846201,8.350240649559913e-15
se,109.3564810113088,1.0473300089912361e-14
widgets,109.3025195271778,1.0715605733756838e-14
openwindows,109.16761186924936,1.1346100676555982e-14
hawks,109.06968152263154,1.1826805318184842e-14
islanders,108.46081511393155,1.5305410275174357e-14
clinton,108.26356943411723,1.6637839694059177e-14
engine,108.14240218775066,1.7513000828439608e-14
bios,107.48699006641192,2.3105264170926638e-14
voltage,106.53872824886147,3.44828749076588e-14
puck,105.98007553338779,4.3643437893180556e-14
lciii,105.53219426523256,5.270797454793331e-14
flyers,105.32005988004181,5.763316721873326e-14
fpu,105.30754612078255,5.793761554495278e-14
koresh,104.75405576785414,7.313343311790678e-14
bruins,104.60799968037003,7.776652131010837e-14
application,104.31160902451573,8.808590647798281e-14
bmw,104.1565189254661,9.401795615961379e-14
jewish,103.75405416692287,1.1133335288532923e-13
hitter,103.72599797481352,1.1265257160583364e-13
powerbook,103.58858465545127,1.193420809030038e-13
c650,103.53724361366561,1.2194170270830255e-13
drivers,103.46147073456929,1.258817740298835e-13
cup,102.98639104305893,1.5364174379482932e-13
phones,102.56384431185599,1.8340985370864452e-13
motherboard,102.52981592408642,1.8604330235822215e-13
pittsburgh,102.02030423996791,2.3028830273255243e-13
kent,101.78050103694784,2.5459582017994563e-13
drives,101.44297612168337,2.9319497460750636e-13
medical,101.22976733875282,3.2052504990639164e-13
firearm,100.82450366268479,3.7965543461974036e-13
palestinians,100.68855052890889,4.018307092411147e-13
pitcher,100.23316209806343,4.859322321569858e-13
soldiers,100.20208129698739,4.922730018376158e-13
x11,99.91680302881255,5.544579109660642e-13
dog,99.90440780660981,5.573302985732749e-13
ice,99.8391564221308,5.726972184748307e-13
iisi,99.69518185282857,6.081117538966504e-13
wiretap,99.52311722126207,6.533053378050697e-13
resurrection,99.03856250675898,7.99343487058615e-13
argic,98.77597210671648,8.916204350342868e-13
weapon,98.67228621928355,9.30910317639909e-13
cview,98.65327213212834,9.383001022755628e-13
pc,98.50753603643825,9.969128287448153e-13
colormap,98.01103264683545,1.2253284700419799e-12
asking,98.00767522723066,1.2270381738368063e-12
irq,97.6740423012293,1.4093280354445958e-12
polygon,97.30102501799166,1.645199809828238e-12
harley,96.64098469168349,2.1627767282008335e-12
pds,96.58726026519011,2.211432876815129e-12
mets,96.37380967978393,2.4157449382437695e-12
lord,96.3560854892857,2.4335317936987734e-12
year,96.19888990884336,2.5970956351251764e-12
palestine,96.17348841239036,2.624533848158512e-12
dealer,96.08700643569168,2.7201305610479676e-12
azerbaijan,95.90827344194744,2.928817935119699e-12
disk,95.13616426956077,4.029324644077363e-12
genocide,94.6278990904259,4.969410453123491e-12
win3,94.58181000455613,5.064753166598366e-12
cancer,94.20094612183745,5.925564211501621e-12
bobby,93.8483535875449,6.851565762423659e-12
sell,93.79335318011977,7.008451091463042e-12
vram,93.41768923007596,8.179859616073799e-12
ftp,93.09284655155625,9.348529768338087e-12
tax,92.53565018326984,1.1752383737432549e-11
player,92.39233496940508,1.2464289387352073e-11
pov,91.82453826771142,1.5731751183647437e-11
honda,91.75835416640805,1.616419362243374e-11
win,91.73749207129289,1.630293977471349e-11
catholic,91.73616916709886,1.6311777744152528e-11
stadium,91.541736149579,1.7663912802155885e-11
driver,90.76929560975034,2.4228799256743396e-11
electronics,90.51781590408612,2.6850955249063037e-11
runs,89.92306809122925,3.4229210710382307e-11
hit,89.7140819613181,3.727433583386935e-11
dma,89.70016803101772,3.748638019283977e-11
adb,89.55722181341054,3.973549341860002e-11
toyota,88.41173773817832,6.333375553763768e-11
truth,88.22552949648613,6.831112435473338e-11
program,88.221296556188,6.842867804746136e-11
amp,88.20641493780718,6.884355595177087e-11
montreal,87.99861432524445,7.490474522193863e-11
classified,87.94721415604937,7.648404665453888e-11
pitchers,87.30328604455087,9.930934613071377e-11
lib,87.29895010396193,9.94839914073732e-11
diet,87.1825106949744,1.0428985680276165e-10
gay,87.02356794769184,1.1122435006937094e-10
belief,86.9367911468618,1.1520170285979213e-10
crypt,86.6926227893194,1.2716727860611515e-10
people,86.69138436539089,1.2723101152825804e-10
solar,86.60522750812711,1.317436808787997e-10
islamic,86.11965188453219,1.603155108431187e-10
militia,86.01625803054095,1.6715244416813627e-10
pain,85.7414482546876,1.8676478284319244e-10
eff,85.6263120914254,1.956460807712327e-10
toronto,85.44386161960682,2.1058645402752772e-10
rider,85.3844164170196,2.1569488383321315e-10
villages,84.744176453865,2.7915452099381593e-10
lemieux,84.60519943172359,2.9521029383287853e-10
wings,84.47247191244223,3.113991741089721e-10
font,84.44739403104136,3.1455551931119843e-10
peace,84.32896179311237,3.2989624185900444e-10
gaza,84.2163367707909,3.4517318427712193e-10
food,84.1216552258324,3.585582651748798e-10
denning,84.04050231202557,3.7044016933479365e-10
feustel,83.30347529085171,4.979142594256083e-10
format,82.9812674742304,5.665241780515062e-10
r5,82.3287288828117,7.355278268921783e-10
treatment,82.18136318765656,7.80143263199324e-10
clients,81.92537402973227,8.641212311172956e-10
rosicrucian,81.66294685157602,9.595255487416932e-10
captain,81.58866422103097,9.883804739744683e-10
yankees,81.562601828939,9.987070995406892e-10
486,81.5303481624322,1.0116352422407602e-09
fonts,81.3701021165202,1.0783703388337681e-09
floppy,81.11297993770594,1.1946931384841333e-09
satellite,80.96950880139812,1.2649265045269215e-09
forsale,80.65421254507729,1.4339957887637292e-09
penguins,80.56477112727165,1.485913659379316e-09
images,80.51250787022883,1.5171096826941206e-09
animation,80.47373203529676,1.540674167580577e-09
rbi,80.36611674696894,1.607992714705411e-09
mouse,80.32883652096788,1.6319874321188996e-09
scheme,80.32605922645591,1.6337891386579688e-09
jmd,80.24162873968993,1.6895135296987248e-09
price,80.14277399089974,1.7571583696291002e-09
gt,80.01119263549273,1.8513829193422988e-09
deletion,79.68822521846008,2.1044466564633406e-09
handgun,79.60912648588692,2.1714839508307346e-09
motto,79.59479438072114,2.1838553410036363e-09
gateway,79.59272491067752,2.185647462937821e-09
marriage,79.54231222623832,2.2297573762753106e-09
civilians,79.27913872726903,2.474770288635374e-09
motorcycles,79.00551748422912,2.757841435048383e-09
port,78.91133793109738,2.8625218910918603e-09
pts,78.70873413336608,3.101261188710005e-09
abc,78.66371708832052,3.156931914350165e-09
gm,78.58421781289336,3.2576765961847225e-09
bobbe,78.50237969707017,3.3647158675260293e-09
president,78.46559664187585,3.413955081543651e-09
adam,78.09471597198227,3.952142341388872e-09
mars,77.437672114156,5.119986528917977e-09
earth,77.39163737028917,5.21359430101287e-09
fans,77.19955870039134,5.6228280194275e-09
medicine,77.09922712697843,5.849092108250698e-09
client,76.77190858789997,6.65187584895219e-09
moral,76.76054358644532,6.68162977738061e-09
adaptec,76.65219259380558,6.9720037468265884e-09
cyprus,76.52621232273127,7.325380335402925e-09
atheist,76.39657518411123,7.707549026739093e-09
atf,76.34700068092656,7.858861305199485e-09
foods,76.09338853084704,8.680226922033369e-09
muslim,75.98156764985515,9.068883145831744e-09
syndrome,75.97937225007891,9.076683836258068e-09
easter,75.94564291658973,9.19737012152065e-09
nl,75.75287107572166,9.918270515690242e-09
law,75.4201823827873,1.129646163917454e-08
health,75.34061094107376,1.1653263963916319e-08
ico,75.2944807971742,1.1865203825843906e-08
patient,75.20311468081515,1.2296312835483846e-08
beauchaine,75.09058927257733,1.2848640436503533e-08
gif,75.07388161022256,1.2932718821330664e-08
enforcement,74.9990657274607,1.3315952042103632e-08
occupied,74.81883704490528,1.428596459727688e-08
clemens,74.80680596527706,1.4353154736353437e-08
040,74.78461904172187,1.4477884419241394e-08
nra,74.49519208128156,1.6206782180769868e-08
quebec,74.27055240155273,1.7688302145826006e-08
homosexual,74.26145291526375,1.7751061284672276e-08
decrypt,74.23341379761595,1.7945837291517935e-08
sunos,74.08256999172204,1.903058656838593e-08
610,73.90108864497464,2.042201832195418e-08
riders,73.85816279621757,2.0765599028098846e-08
ball,73.85778125459602,2.0768678433254023e-08
dodgers,73.69164479497422,2.2153452008923732e-08
pixmap,73.68764561194939,2.218788899827547e-08
eternal,73.67779201101945,2.227296481584441e-08
vesa,73.64248340718883,2.2580480088183646e-08
amendment,73.60772128953687,2.288734262574053e-08
batting,73.49612626447339,2.3900628102204796e-08
microsoft,73.43852259861443,2.444092818859116e-08
oil,73.41669644917695,2.464879369033988e-08
greek,73.25741572396124,2.621967145668015e-08
criminals,72.7852566550261,3.1482494745797815e-08
sharks,72.6406404636585,3.329449250956685e-08
rkba,72.3808818419774,3.6812187159317966e-08
killed,72.36001024750023,3.711030415965478e-08
corn,72.04281508118117,4.1946373376605526e-08
queens,71.8950795218368,4.440685127127181e-08
code,71.63226239023165,4.914209071367389e-08
manuals,71.45564925874692,5.260151288684155e-08
simm,71.38473827249418,5.405733831730565e-08
baerga,70.8152512571497,6.729004648922814e-08
sank,70.75716073818438,6.88079706684945e-08
keenan,70.68944265095482,7.062027112707263e-08
symptoms,70.62025762907228,7.2520594546489e-08
vw,70.60742228743236,7.287866865784973e-08
olwm,70.56325400122998,7.412427104081689e-08
candida,70.3538322700205,8.032288362348304e-08
crime,70.32241969309109,8.129585461596998e-08
nist,70.0601935460149,8.98862710839309e-08
freewill,70.0255835089998,9.108516729554246e-08
syria,69.84926975734086,9.744258279588752e-08
drugs,69.73896358513899,1.0164107182578486e-07
w4wg,69.50071650429477,1.1132940363983067e-07
xdm,69.19144690256658,1.2527890893098387e-07
azeri,69.16761693838728,1.264228196996345e-07
lyme,69.13999348488716,1.277617582573807e-07
display,68.9943628161452,1.3505584804661897e-07
zip,68.96457581850456,1.365977199399935e-07
macs,68.49827333447475,1.631316149652352e-07
sabbath,68.18055814525644,1.8406717232590047e-07
ram,68.16596995693085,1.850897292373485e-07
modem,68.11596299024838,1.8863775228534052e-07
roger,67.94875818674602,2.0099619416285892e-07
era,67.79800950387492,2.1282225992084153e-07
video,67.68367486959878,2.2224778681556687e-07
rear,67.58496630397714,2.3071607770437857e-07
occupation,67.34603223359365,2.525569733306624e-07
libertarians,67.2699823237727,2.5992810755073695e-07
flight,67.02209418784584,2.8546141736684544e-07
proposal,67.01372260933185,2.863656455861394e-07
shaft,66.96660459823629,2.915079660209242e-07
hd,66.79054349084119,3.115427242942625e-07
jobs,66.49195353362087,3.486749719765932e-07
mydisplay,66.29195770634001,3.7595678050633274e-07
police,66.29074070713547,3.761290831943089e-07
nazi,66.16892004326012,3.9377688440239697e-07
father,66.12234066758752,4.007386559579448e-07
goals,65.80637348080002,4.5127926981243625e-07
yeast,65.73160724375987,4.6413055195596943e-07
jerusalem,65.56004209298906,4.950017795656909e-07
eisa,65.5138096799393,5.036618765269535e-07
printer,65.2419648844257,5.576922660532926e-07
contrib,65.17354292560294,5.721689351972295e-07
orbital,65.06876702210617,5.950590961707263e-07
board,64.97832344732049,6.155431864171123e-07
chips,64.9684194005482,6.178281408434053e-07
homosexuals,64.94456995974508,6.233648276157191e-07
phone,64.8911775907886,6.359380736578749e-07
assault,64.74783267108143,6.709451650176621e-07
vga,64.69665732616994,6.838980826691645e-07
lindros,64.6631174388773,6.925208355577651e-07
vesselin,64.63405007604996,7.000804518485848e-07
countersteering,64.63289940730972,7.003813783477646e-07
jagr,64.54857501787042,7.227850459776587e-07
convertible,64.28282889170218,7.981166686191463e-07
holocaust,64.27841670871676,7.994306111159239e-07
manager,64.23702164113476,8.118623946246872e-07
ms,63.9768074386889,8.944942883379639e-07
administration,63.937993480644735,9.075107328360205e-07
reds,63.90301142810784,9.194020796877309e-07
excellent,63.824069186407186,9.468042702057464e-07
beliefs,63.74339204441465,9.756406881825496e-07
escrowed,63.71998625060971,9.84167514452158e-07
thanks,63.70136203489057,9.910048588853637e-07
saturn,63.67097265054631,1.0022621550586532e-06
nt,63.66367993521518,1.004982339719511e-06
religious,63.60065197044258,1.028797173499022e-06
viewer,63.493567116929505,1.0705410028095776e-06
physician,63.44537747154873,1.0898670067060603e-06
brand,63.32834566440431,1.138245253545124e-06
memory,63.29802001907885,1.1511227535368841e-06
public,63.291211266809476,1.1540337122649176e-06
wagon,63.175809138084105,1.2044902272913754e-06
amorc,63.08893794181185,1.2439012812356392e-06
diagnosed,63.070147465292784,1.2525917773834105e-06
gilmour,62.79537305606889,1.386724488960529e-06
qur,62.72548471296693,1.42304019904167e-06
deficit,62.47151964157757,1.563073001017172e-06
calgary,62.45575605253569,1.5721990529850852e-06
color,62.41496092368134,1.5960611506409307e-06
funding,62.24295885822518,1.7006553549036714e-06
exe,62.00726893148352,1.8550198904811132e-06
tempest,61.986770333686984,1.8690802790218435e-06
winnipeg,61.943012465797,1.8994468576308894e-06
cpu,61.92357125510771,1.913093888552232e-06
rockies,61.83109244811436,1.979344637921892e-06
software,61.70823697302731,2.070863186172566e-06
satan,61.4301420620712,2.2936989224527004e-06
sho,61.352834554959024,2.359732476799231e-06
meg,61.065206959295345,2.622266505380199e-06
morris,61.00812183818776,2.6776921769949e-06
ripem,60.74042016056121,2.9533851104724487e-06
bd,60.653931209773766,3.048289821007927e-06
stanley,60.57049840356715,3.1426830832243385e-06
bush,60.44411156329279,3.2911783578378093e-06
os,60.32787564783153,3.433830828951945e-06
hartford,60.20245651133615,3.594580967615452e-06
sun,60.17891381197061,3.6255706617265055e-06
waco,60.172918065250364,3.6335048830756507e-06
kawasaki,60.13509097174624,3.683957162745879e-06
war,60.1130751413666,3.7136376774870157e-06
bronx,59.977167188406455,3.902140274704556e-06
mozumder,59.94912762937713,3.942186405959983e-06
circuits,59.91197510937747,3.9958710287007e-06
s1,59.87369816077383,4.051932560326038e-06
ssto,59.82483484706973,4.124624685947171e-06
rushdie,59.73494291769909,4.26171966772868e-06
manhattan,59.72043404599348,4.284263456645244e-06
rights,59.684168858110084,4.341126361220411e-06
expose,59.58107300201563,4.506864091993109e-06
handheld,59.49027012520477,4.657983482825393e-06
greeks,59.41074115754498,4.794426282793373e-06
cards,59.3182783947882,4.958005170161371e-06
stats,59.139396177911756,5.290201666796083e-06
finals,59.10387320144668,5.3587282474726475e-06
screen,58.835226389924586,5.906005341546987e-06
lcs,58.70365969054688,6.1937139008755175e-06
taurus,58.68139756323059,6.243740747528379e-06
cipher,58.56244944524393,6.5178431527609044e-06
cd,58.11745310489642,7.652204223727436e-06
detector,58.11677910084371,7.654061504687187e-06
autos,58.10705972735945,7.68089343547221e-06
disks,58.02942032319297,7.898573234532936e-06
ottawa,58.01263468021968,7.946426396298822e-06
compound,57.855779365839645,8.407585271815283e-06
played,57.76362979645105,8.690660996373332e-06
plaintext,57.762328285800216,8.694725426850436e-06
traded,57.7356361127506,8.778494215064033e-06
harddisk,57.72405543543619,8.815084259947441e-06
kurds,57.71983542263132,8.828454918989998e-06
stephanopoulos,57.68243022811249,8.947843319912837e-06
jpeg,57.478313121094054,9.627809362082417e-06
jays,57.436573614209166,9.772977534923183e-06
scoring,57.359291630930805,1.0047456346247968e-05
bullpen,57.318302698537195,1.0196092219957692e-05
federal,57.303446469950266,1.0250495816299449e-05
biker,57.25494419744129,1.0430103027337904e-05
giants,57.06983053562238,1.1144432825189125e-05
tires,56.949330000305494,1.1635008814803872e-05
migraine,56.94070475845528,1.1670925295602219e-05
hci,56.858179099627776,1.2020119556493403e-05
blood,56.84987674844365,1.2055812183659466e-05
hi,56.80782523808911,1.2238199537966129e-05
bmp,56.79323944588302,1.230209192184035e-05
package,56.79025806366125,1.2315191964835839e-05
agencies,56.71762494124954,1.263860136661788e-05
warrant,56.681828886788274,1.2801039854870035e-05
soon,56.472845132427224,1.3791091344478474e-05
inning,56.41817532478599,1.406224730794068e-05
xview,56.36382256616492,1.433701354847361e-05
using,56.24635942272044,1.4948931782096411e-05
zionism,56.241219971684004,1.4976282515046374e-05
catcher,56.23657628105786,1.5001037155794816e-05
aaa,56.23142197986209,1.502856076448443e-05
goal,56.174617275306844,1.5335194311149956e-05
centaur,56.12064633459947,1.5632211940021253e-05
version,56.09946003242778,1.575034207785253e-05
francis,56.03440973565486,1.6118545747252132e-05
diseases,55.991269079051314,1.6367376326518502e-05
satellites,55.893162144601305,1.694735460955167e-05
truetype,55.821411132534124,1.738423646402439e-05
troops,55.81489186219168,1.742447432206077e-05
email,55.75167545409676,1.781942139411029e-05
mission,55.73514695404704,1.7924122972040208e-05
bikers,55.71907102581239,1.8026536198813865e-05
spirit,55.599087559858035,1.880923523065007e-05
children,55.54059377987953,1.9202798191982606e-05
garrett,55.498152966965634,1.9493394131895802e-05
fan,55.46006503804847,1.9757852669278555e-05
nolan,55.4532378692215,1.9805626480471518e-05
taxes,55.428190375334516,1.9981870535814503e-05
azerbaijani,55.40322092201355,2.015909521013757e-05
concealed,55.23589406167637,2.13871188195073e-05
raid,55.22298463918468,2.1484851368627032e-05
ati,55.15098181559538,2.203803962416269e-05
powerpc,55.03008813940014,2.2998397783696006e-05
ottoman,55.00127520989842,2.3233265302285138e-05
cellular,54.968012161204484,2.3507331061929187e-05
xt,54.851257057240616,2.4494618617270575e-05
s2,54.82895346391503,2.468778686926537e-05
scored,54.8029523952466,2.4914862720484067e-05
8051,54.79423401822172,2.4991460204054903e-05
messier,54.77913818534981,2.5124634264269322e-05
auto,54.48533512126721,2.7859374399173463e-05
muslims,54.367238557156504,2.9038946228481506e-05
gainey,54.325643765831366,2.9465937773521658e-05
sexual,54.3152874748204,2.9573202489038706e-05
jumpers,54.287715843331895,2.9860641335380665e-05
sabres,54.2053280506907,3.073594267293207e-05
skipjack,54.0641710074869,3.2294352151142386e-05
soderstrom,54.020319798558,3.27940378114131e-05
imake,53.845138019823594,3.486683366869127e-05
career,53.82101212300156,3.516215926221581e-05
cursor,53.76704865094466,3.5831615770401773e-05
allergic,53.715341080748615,3.6484778950159364e-05
mb,53.67440550191785,3.7010120587867626e-05
mary,53.61063527721484,3.784328563142462e-05
tyre,53.58706704939603,3.815582810875345e-05
royals,53.43111042812359,4.0288573462727254e-05
tek,53.38705686947749,4.091184950343059e-05
oilers,53.31502638609842,4.1951320004827756e-05
billion,53.30700152651422,4.2068713500064144e-05
offers,53.27063512728474,4.260474700401005e-05
adl,53.22745827924733,4.3249842222335736e-05
potvin,53.20480930068596,4.359204481475243e-05
revelation,53.17147161477775,4.4100564376952366e-05
blues,53.05150677766763,4.597890369184399e-05
cmos,53.04994573738547,4.600385387015119e-05
sci,52.97706530430823,4.718355710460693e-05
gretzky,52.86038907479826,4.913401356669356e-05
minnesota,52.70788771194028,5.1802543192514145e-05
shafer,52.638840149188205,5.3056863171039814e-05
tap,52.61566833648091,5.348441732037405e-05
includes,52.60820814491074,5.362278398281302e-05
zx,52.40544700880591,5.752032678239063e-05
tanks,52.3946503473628,5.773544893214361e-05
advance,52.351615764134145,5.860074500552423e-05
output,52.253393227957424,6.062343396884113e-05
ground,52.210997459705936,6.151741111793233e-05
mahan,52.180560006899,6.216715709418663e-05
seizures,52.17677568528983,6.224840772411718e-05
ulf,52.154224239942636,6.273474966955404e-05
evidence,52.123218851099466,6.340947159787173e-05
shostack,52.11527645325535,6.358344671909962e-05
sphere,52.07297138543385,6.451800633153894e-05
diamond,52.026942748719726,6.555006170969712e-05
radar,51.95183014726062,6.726895588468973e-05
icon,51.945887002379735,6.740682379694444e-05
uv,51.89529700164169,6.859162481330532e-05
upgrade,51.85305174519956,6.959655264588168e-05
men,51.8110077682309,7.06109589110377e-05
cache,51.7281031263099,7.265368949196595e-05
retarded,51.65602377687144,7.44764814825461e-05
esdi,51.64402097202187,7.478432115248387e-05
moto,51.61061067078032,7.564776001338749e-05
henrik,51.60401610063088,7.58193328514003e-05
soviet,51.5689516074321,7.673801394226264e-05
kings,51.53086310081766,7.774823345470575e-05
allah,51.5023943610343,7.851177256146645e-05
pitched,51.48375589796289,7.901561955392653e-05
arafat,51.44393460514575,8.010268950487025e-05
greece,51.36957212753368,8.217189496534121e-05
pitch,51.25209506762541,8.554751354829139e-05
moa,51.19300228233575,8.729626581304783e-05
desktop,51.070429378804256,9.103550299141138e-05
siggraph,50.99898125627898,9.328670814629242e-05
pope,50.98585999596691,9.370599603820946e-05
computer,50.95505454957711,9.469761479510308e-05
religions,50.91123034387091,9.612595773052135e-05
species,50.908807619198775,9.620553035007788e-05
comet,50.8885627657562,9.687297339176624e-05
population,50.884842487640235,9.699611562752319e-05
settings,50.82272617906681,9.907487431838991e-05
mustang,50.817981972098636,9.923541547005786e-05
staff,50.80228564937256,9.976837955843885e-05
hell,50.78696763454736,0.00010029118851149445
tigers,50.71880091367837,0.00010265031301155705
